First,Run_Time,Third,Fourth,Fifth
4.1173,146.55,280,0.52339,0.0057769
4.0408,137.95,264,0.52254,0.0057675
3.007,106.87,208,0.5138,0.005671
3.6723,125.76,242,0.51967,0.0057358
3.6953,130.31,250,0.52124,0.0057531
4.1285,146.99,278,0.52874,0.0058359
3.8089,131.29,250,0.52516,0.0057964
3.438,119.2,230,0.51826,0.0057203
4.251,152.18,290,0.52476,0.005792
4.0746,143.39,274,0.52332,0.0057761
4.1795,145.49,278,0.52335,0.0057764
2.8951,105.81,204,0.51868,0.0057248
3.6817,131.06,250,0.52424,0.0057862
3.2172,114.68,222,0.51658,0.0057017
3.7791,129.19,248,0.52093,0.0057497
3.5185,122.04,234,0.52154,0.0057564
4.6168,163.52,312,0.5241,0.0057847
3.7703,130.02,250,0.52008,0.0057403
3.0693,109.75,214,0.51285,0.0056605
3.6591,127.66,244,0.5232,0.0057747
3.309,115.39,222,0.51977,0.005737
4.047,136.23,262,0.51996,0.005739
4.012,145.14,276,0.52587,0.0058042
3.1081,110.13,214,0.51463,0.0056801
3.5194,121.14,234,0.51769,0.005714
4.6568,162.19,308,0.52659,0.0058122
3.1015,108.11,210,0.51481,0.0056822
3.3864,122.06,234,0.52162,0.0057574
3.4307,120.03,232,0.51737,0.0057104
3.8583,137.44,264,0.52061,0.0057461
3.2926,114.66,222,0.51649,0.0057007
3.9423,136.64,262,0.52153,0.0057563
3.3766,122.13,236,0.5175,0.0057119
3.4388,119.57,228,0.52443,0.0057883
4.0532,146.52,280,0.52329,0.0057757
3.3005,116.28,224,0.51911,0.0057296
3.6363,128.96,248,0.52,0.0057395
4.2203,151.35,286,0.5292,0.0058409
4.3534,156.32,298,0.52456,0.0057898
3.4169,119.73,232,0.51608,0.0056962
2.9351,100.17,196,0.51107,0.0056409
4.4466,154.99,296,0.52361,0.0057793
3.6881,134.02,258,0.51946,0.0057335
3.8747,132.32,254,0.52094,0.0057499
3.7063,132.1,252,0.52421,0.0057859
3.8414,134.61,258,0.52174,0.0057587
4.2357,148.78,284,0.52387,0.0057822
3.8942,138.51,266,0.52071,0.0057473
3.5182,124.62,240,0.51925,0.0057312
3.4359,120.92,232,0.52121,0.0057528
3.2733,114.35,220,0.51977,0.0057369
4.4387,155.72,296,0.52608,0.0058066
3.4655,122.17,234,0.52209,0.0057626
3.5812,129.19,248,0.52093,0.0057497
3.4815,121.38,234,0.51872,0.0057253
3.4193,119.99,232,0.5172,0.0057085
3.8047,135.75,256,0.53027,0.0058528
3.4246,122.12,236,0.51746,0.0057114
3.329,116.98,224,0.52223,0.0057641
3.1945,110.96,216,0.5137,0.00567
3.6279,131.8,254,0.5189,0.0057273
3.6927,127.61,246,0.51874,0.0057255
3.6999,133.06,254,0.52386,0.005782
3.4158,120.27,232,0.51841,0.0057218
3.9982,143,272,0.52574,0.0058028
2.3289,85.41,168,0.50839,0.0056113
3.2954,113.53,220,0.51605,0.0056958
4.0702,143.34,274,0.52314,0.0057741
3.4585,121.25,232,0.52263,0.0057685
3.9486,139.81,266,0.5256,0.0058013
